Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,25.148648341268725,25.34739335712061,24.697377315740585,25.003896351889644,25.003896351889644,86480005
2010-01-05,25.074964566510516,25.417628052628896,25.01969778332609,25.108171855299886,25.108171855299886,117512304
2010-01-06,24.712995033538316,25.351931887936544,24.565841248625183,25.21679030237932,25.21679030237932,116685254
2010-01-07,24.934935746333334,25.5989474448386,24.924569570476528,25.32051221689235,25.32051221689235,246908393
2010-01-08,25.20258143647923,25.72310317617646,24.892268421451202,25.43131520024397,25.43131520024397,152762072
2010-01-11,25.756837789433842,26.01103788497974,25.198138639122497,25.537530866183666,25.537530866183666,278397378
2010-01-12,26.110939859801974,26.21743105643917,25.47036652419714,25.641308225059312,25.641308225059312,232397181
2010-01-13,26.21490983166653,26.340298684985456,25.504123290653276,25.744479399945888,25.744479399945888,259548635
2010-01-14,25.941405666371644,26.11739558223022,25.57510611288607,25.851530092237454,25.851530092237454,205019778
2010-01-15,25.530417180114853,26.024473512316757,25.487559376041656,25.948023804906256,25.948023804906256,250724002
2010-01-19,26.067919663887864,26.28703661387043,25.736401188678453,26.056378300971833,26.056378300971833,188048626
2010-01-20,25.921985162452756,26.549829641801193,25.588848747669605,26.158758991498225,26.158758991498225,104145423
2010-01-21,26.730963432792937,27.126832012736465,25.893352088347335,26.258422899590638,26.258422899590638,294706823
2010-01-22,26.394094374482773,26.584829889624807,26.128599142383617,26.357506557972638,26.357506557972638,269363314
2010-01-25,26.589784535617515,26.975562479925102,26.10023778590287,26.469019737154067,26.469019737154067,224575586
2010-01-26,26.25953023920803,26.932792901714723,26.164108716514246,26.575912354250228,26.575912354250228,204679660
2010-01-27,26.184913129416085,26.899044502797747,25.98132225383474,26.690536061547785,26.690536061547785,193755949
2010-01-28,26.723875153518104,26.898102606301066,26.655436393782715,26.797994378195,26.797994378195,159197349
2010-01-29,27.13322077369991,27.37846384364143,26.88457229128476,26.90482861780056,26.90482861780056,157047794
2010-02-01,27.092052195388447,27.306148524912242,26.670283344338472,27.012004775649167,27.012004775649167,74674369
2010-02-02,27.12719740913902,27.420145736166244,26.98395033132525,27.1191260113823,27.1191260113823,151461803
2010-02-03,27.138180046809772,27.57595455221439,27.06749684464782,27.226672862930574,27.226672862930574,129278839
2010-02-04,27.633735225195863,27.69478402478504,27.031155147436685,27.329579003063824,27.329579003063824,148089487
2010-02-05,27.296472251212066,27.45115038765883,26.927312300377352,27.43271050325503,27.43271050325503,153642039
2010-02-08,27.332710808002858,27.71660485283773,27.243196903516193,27.53267564525472,27.53267564525472,91167806
2010-02-09,27.58813474021513,27.748284739659322,27.51475271128943,27.634979110748173,27.634979110748173,137852654
2010-02-10,28.25284230210882,28.643303523592696,27.730155734287976,27.736305048647296,27.736305048647296,135625456
2010-02-11,27.888587939462596,28.039602533400735,27.458462075284874,27.83314221337312,27.83314221337312,97939419
2010-02-12,27.728586083817703,27.951033299034727,27.516402170090238,27.93673720229614,27.93673720229614,88772145
2010-02-16,27.534502589815617,28.39570865619061,27.49922586112365,28.042026205336285,28.042026205336285,152419253
2010-02-17,28.333425413146895,28.433387149973406,28.030377887782922,28.14590643558974,28.14590643558974,87257918
2010-02-18,28.50078259366555,28.579286686172843,27.87645960601367,28.256122491324586,28.256122491324586,87100472
2010-02-19,28.603374168382643,28.68328921653374,28.24655375711146,28.36217308145785,28.36217308145785,105668565
2010-02-22,28.909351966272602,29.11754027127387,28.35095024330991,28.468080191649804,28.468080191649804,107479678
2010-02-23,28.965383577261882,29.08000492172234,28.508181450101056,28.563024431450334,28.563024431450334,115508935
2010-02-24,28.892254154621728,29.107953506815942,28.645890979949023,28.6686795970086,28.6686795970086,72932002
2010-02-25,29.228216098595045,29.626125640227524,28.53366983475376,28.77104473050442,28.77104473050442,125209714
2010-02-26,28.7511874505051,28.912941901765848,28.618210181958457,28.883525279179597,28.883525279179597,85880391
2010-03-01,29.203980197608097,29.538798564909964,28.631516775505567,28.991387958700592,28.991387958700592,64547787
2010-03-02,28.643720926150248,29.452181056371163,28.42990861073199,29.102718379461017,29.102718379461017,175417609
2010-03-03,28.884933530834225,29.495120589636663,28.742334348593456,29.21307515194277,29.21307515194277,95559703
2010-03-04,29.492534960677123,29.832424349688324,29.143223318114178,29.309567864087104,29.309567864087104,141163054
2010-03-05,28.935488456200922,29.683025305637162,28.585065532534113,29.412873608658188,29.412873608658188,133848100
2010-03-08,28.97984338831436,29.66682946084818,28.746095910831926,29.513818972017138,29.513818972017138,122135127
2010-03-09,29.789762646456996,29.922150408240352,29.31621942590591,29.624078395660504,29.624078395660504,91321629
2010-03-10,30.284605973174077,30.462760104902284,29.45811683439453,29.72679774886128,29.72679774886128,175435141
2010-03-11,29.893827314431668,29.91861870109392,29.5390316626888,29.828211452242147,29.828211452242147,184506055
2010-03-12,30.377937686402298,30.467637056478303,29.84651210032483,29.938130463300602,29.938130463300602,134354776
2010-03-15,30.17587293136624,30.18320365520322,29.62387789256822,30.030831840401422,30.030831840401422,137513825
2010-03-16,29.670475832131874,30.342039760358016,29.47782809586716,30.122411624361284,30.122411624361284,120699682
